Song_ID,Tonic,Chords
12,E,"I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,#IV:maj F,bVI:maj F,#IV:maj C,bII:maj,#IV:maj F,bVI:maj F,#IV:maj G,bVI:maj,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,#IV:maj F,bVI:maj F,#IV:maj C,bII:maj,#IV:maj F,bVI:maj F,#IV:maj G,bVI:maj,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,V:min,V:min,bIII:maj,bIII:maj,V:min,V:min,bIII:maj,bIII:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,I:maj A,I:maj,#IV:maj F,bVI:maj F,#IV:maj C,bII:maj,#IV:maj F,bVI:maj F,#IV:maj G,bVI:maj,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj A,bVII:maj A,I:maj,"
13,A,"I:min D,I:min D,I:min D,I:min D,I:min D,I:min D,bVII:maj C,I:min D,I:min D,I:min D,bVII:maj C,I:min D,bVII:maj,V:min,bVII:maj,IV:maj,IV:7,I:min D,I:min D,I:min D,I:min D,bVII:maj C,I:min D,I:min D,I:min D,bVII:maj C,I:min D,bVII:maj,V:min,bVII:maj,IV:maj,IV:7,IV:maj,IV:7,bVII:maj,bVII:maj,I:min D,I:min D,I:min D,I:min D,bVII:maj C,I:min D,I:min D,I:min D,bVII:maj C,I:min D,bVII:maj,V:min,bVII:maj,IV:maj,IV:7,IV:maj,IV:7,bVII:maj,bVII:maj,bVII:maj,bVII:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,bVII:maj,V:maj,"
14,B,"I:maj,I:maj,I:sus4,I:sus4,I:maj,I:maj,I:maj,I:maj,IV:maj,IV:maj,IV:min,IV:min,I:maj,I:maj,I:maj,I:maj,IV:maj,IV:maj,IV:min,IV:min,I:maj,I:maj,bIII:maj,bVI:maj,bII:maj,I:maj,I:maj,IV:maj,IV:maj,IV:min,IV:min,I:maj,I:maj,I:maj,I:maj,IV:maj,IV:maj,IV:min,IV:min,I:maj,I:maj,I:maj,I:maj,IV:maj,IV:maj,IV:min,IV:min,I:maj,I:maj,"
15,E,"I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),I:7(#9),bVI:maj A,bIII:maj D,IV:maj,IV:maj,bVI:maj A,bIII:maj D,IV:maj,IV:maj,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bVI:maj A,bIII:maj D,IV:maj,IV:maj,bVI:maj A,bIII:maj D,IV:maj,IV:maj,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),bVI:maj D,I:7(#9),I:7(#9),bVI:maj A,bIII:maj D,IV:maj,IV:maj,bVI:maj A,bIII:maj D,IV:maj,IV:maj,bVI:maj A,bIII:maj D,IV:maj,IV:maj,bVI:maj A,bIII:maj D,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,IV:maj,"
16,F,"I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,V:sus4,V:sus4,V:sus4,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,V:maj,V:sus4,V:sus4,V:sus4,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,I:maj,IV:maj,V:maj,IV:maj,"
17,Ab,"I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj Eb,I:maj,IV:maj Eb,IV:maj Ab,I:maj,VI:min F,II:maj,I:maj,V:maj,bVII:maj,IV:maj,II:min,V:maj,I:maj,IV:maj Eb,I:maj,IV:maj Eb,IV:maj Ab,I:maj,VI:min F,II:maj,I:maj,V:maj,bVII:maj,IV:maj,II:min,V:maj,I:maj,IV:maj Eb,I:maj,IV:maj Eb,I:maj,IV:maj Eb,I:maj,IV:maj Eb,IV:maj Ab,I:maj,VI:min F,II:maj,I:maj,V:maj,bVII:maj,IV:maj,II:min,V:maj,I:maj,IV:maj Eb,I:maj,IV:maj Eb,IV:maj Ab,I:maj,I:maj,IV:maj Eb,I:maj,IV:maj Eb,I:maj,IV:maj Eb,I:maj,IV:maj Eb,"
18,A,"bIII:maj,V:maj,IV:min,V:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,bIII:maj,IV:min,V:maj,I:min,IV:maj,I:min,IV:maj,IV:min E,bIII:maj F,IV:min,V:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,bIII:maj,IV:min,V:maj,I:min,IV:maj,I:min,IV:maj,IV:min E,bIII:maj F,IV:min,V:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,IV:maj,IV:maj,IV:maj,II:min7,II:min7,I:maj,I:maj,V:maj,V:maj,V:maj,V:7,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,bIII:maj,IV:min,V:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,IV:maj,IV:maj,IV:maj,II:min7,II:min7,I:maj,I:maj,V:maj,V:maj,V:maj,V:7,I:min,bVI:maj,I:min,bVI:maj,I:min,bVII:maj,bVI:maj,I:min,"
19,C,"V:min,V:min,VI:min,VI:min,IV:maj,I:maj,IV:min,I:maj,V:maj,IV:maj,IV:min,IV:min,I:maj,V:maj,IV:maj,V:maj,IV:maj,II:min,IV:maj,II:min G,VI:min,V:maj,III:min,VI:min,V:min,V:min,VI:min,VI:min,IV:maj,IV:maj,I:maj,IV:min,I:maj,V:maj,IV:maj,IV:min,IV:maj,II:min,IV:maj,II:maj,IV:maj,II:min G,VI:min,V:maj,III:min,VI:min,VI:min,IV:maj,IV:maj,VI:min,V:maj,III:min,VI:min,"
20,C,"I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5 C,bIII:5,bVII:5 C,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,IV:7,bVII:7,bVII:7,bIII:5 D,bVI:5 G,bVII:7,bVII:7,bIII:5 D,bVI:5 G,IV:5 G,bII:5 Bb,bVII:5 B,I:5 C,I:7(#9),I:7(#9),I:5,I:5,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:1,I:1,I:5 F,bVII:5 Eb,bVI:5 Db,I:7,"
21,Ab,"I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,VI:min,I:maj,VI:min,VI:min,VI:min,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,V:7,V:7,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,V:7,V:7,I:maj,I:maj,I:maj,"
22,E,"I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,IV:maj G,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,IV:maj G,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj D,IV:maj E,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,bVII:maj A,bVII:maj A,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,IV:maj G,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,IV:maj G,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj D,IV:maj E,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,bVII:maj A,bVII:maj A,I:maj,I:maj,V:maj,V:maj,IV:maj,IV:maj,V:maj,V:maj,IV:maj,IV:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,I:maj,IV:maj G,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj D,IV:maj E,IV:maj,IV:maj,I:maj,I:maj,IV:maj,IV:maj,I:maj,I:maj,"
23,B,"I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min7,I:min7,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,"
24,A,"I:maj,IV:maj,I:maj,IV:maj,bVII:maj,V:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,bVII:maj,bIII:maj,II:maj,V:7,I:min,IV:min,bIII:maj,I:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,bVII:maj,bIII:maj,II:maj,V:maj,I:maj,IV:maj,bVII:maj,V:maj,I:maj,IV:maj,bVII:maj,V:maj,I:maj,IV:maj,bVII:maj,V:maj,I:maj,IV:maj,bVII:maj,V:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,bVII:maj,bIII:maj,II:maj,V:maj,I:maj,IV:maj,bVII:maj,bIII:maj,II:maj,V:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,bVII:maj D,I:maj,"
25,G,"IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,II:min,III:min7,II:min,V:sus2(b7),II:min,III:min7,II:min,V:sus2(b7),IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,I:maj,II:maj,II:min,III:min7,II:min,V:sus2(b7),II:min,III:min7,II:min,V:sus2(b7),IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,bVI:maj,bVII:maj,III:maj7,bII:min7,bIII:min7,#IV:maj,bII:min7,bII:min7,bIII:min7,bIII:sus4(b7),III:maj7,bII:min7,bIII:min7,#IV:maj,bII:min7,bII:min7,II:min7,V:sus2(b7),IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,IV:maj,V:maj,I:maj,IV:maj,"
