Song_ID,Tonic,Chords
12,E,"E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj C:maj,F:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj G:maj,C:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj C:maj,F:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj G:maj,C:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,B:min,B:min,G:maj,G:maj,B:min,B:min,G:maj,G:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,E:maj A:maj,E:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj C:maj,F:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj G:maj,C:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj A:maj,D:maj A:maj,E:maj,"
13,A,"A:min D:min,A:min D:min,A:min D:min,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,G:maj,E:min,G:maj,D:maj,D:7,A:min D:min,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,G:maj,E:min,G:maj,D:maj,D:7,D:maj,D:7,G:maj,G:maj,A:min D:min,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,A:min D:min,A:min D:min,G:maj C:maj,A:min D:min,G:maj,E:min,G:maj,D:maj,D:7,D:maj,D:7,G:maj,G:maj,G:maj,G:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,G:maj,E:maj,"
14,B,"B:maj,B:maj,B:sus4,B:sus4,B:maj,B:maj,B:maj,B:maj,E:maj,E:maj,E:min,E:min,B:maj,B:maj,B:maj,B:maj,E:maj,E:maj,E:min,E:min,B:maj,B:maj,D:maj,G:maj,C:maj,B:maj,B:maj,E:maj,E:maj,E:min,E:min,B:maj,B:maj,B:maj,B:maj,E:maj,E:maj,E:min,E:min,B:maj,B:maj,B:maj,B:maj,E:maj,E:maj,E:min,E:min,B:maj,B:maj,"
15,E,"E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),E:7(#9),C:maj A:maj,G:maj D:maj,A:maj,A:maj,C:maj A:maj,G:maj D:maj,A:maj,A:maj,E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),C:maj A:maj,G:maj D:maj,A:maj,A:maj,C:maj A:maj,G:maj D:maj,A:maj,A:maj,E:7(#9),E:7(#9),E:7(#9),E:7(#9),E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),C:maj D:maj,E:7(#9),E:7(#9),C:maj A:maj,G:maj D:maj,A:maj,A:maj,C:maj A:maj,G:maj D:maj,A:maj,A:maj,C:maj A:maj,G:maj D:maj,A:maj,A:maj,C:maj A:maj,G:maj D:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,A:maj,"
16,F,"F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,C:sus4,C:sus4,C:sus4,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,F:maj,Bb:maj,C:maj,C:sus4,C:sus4,C:sus4,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,F:maj,Bb:maj,C:maj,Bb:maj,"
17,Ab,"Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Db:maj Ab:maj Eb:maj,Ab:maj,F:min F:maj,Bb:maj,Ab:maj,Eb:maj,Gb:maj,Db:maj,Bb:min,Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Db:maj Ab:maj Eb:maj,Ab:maj,F:min F:maj,Bb:maj,Ab:maj,Eb:maj,Gb:maj,Db:maj,Bb:min,Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Db:maj Ab:maj Eb:maj,Ab:maj,F:min F:maj,Bb:maj,Ab:maj,Eb:maj,Gb:maj,Db:maj,Bb:min,Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Db:maj Ab:maj Eb:maj,Ab:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,Ab:maj,Db:maj Eb:maj,"
18,A,"C:maj,E:maj,D:min,E:maj,A:min,F:maj,A:min,F:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,C:maj,D:min,E:maj,A:min,D:maj,A:min,D:maj,D:min E:min,C:maj F:maj,D:min,E:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,C:maj,D:min,E:maj,A:min,D:maj,A:min,D:maj,D:min E:min,C:maj F:maj,D:min,E:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,D:maj,D:maj,D:maj,B:min7,B:min7,A:maj,A:maj,E:maj,E:maj,E:maj,E:7,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,C:maj,D:min,E:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,D:maj,D:maj,D:maj,B:min7,B:min7,A:maj,A:maj,E:maj,E:maj,E:maj,E:7,A:min,F:maj,A:min,F:maj,A:min,G:maj,F:maj,A:min,"
19,C,"G:min,G:min,A:min,A:min,F:maj,C:maj,F:min,C:maj,G:maj,F:maj,F:min,F:min,C:maj,G:maj,F:maj,G:maj,F:maj,D:min,F:maj,D:min G:sus4,A:min,G:maj,E:min,A:min,G:min,G:min,A:min,A:min,F:maj,F:maj,C:maj,F:min,C:maj,G:maj,F:maj,F:min,F:maj,D:min,F:maj,D:maj,F:maj,D:min G:sus4,A:min,G:maj,E:min,A:min,A:min,F:maj,F:maj,A:min,G:maj,E:min,A:min,"
20,C,"C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5 C:5,Eb:5,Bb:5 C:5 F#:5,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,F:7,Bb:7,Bb:7,Eb:5 D:5 C:5 Bb:5,Ab:5 G:5 F:5 Eb:5,Bb:7,Bb:7,Eb:5 D:5 C:5 Bb:5,Ab:5 G:5 F:5 Eb:5,F:5 G:5 Ab:5 C:5,Db:5 Bb:5 Ab:7 A:5,Bb:5 B:5,C:5 C:5,C:7(#9),C:7(#9),C:5,C:5,C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:7(#9),C:1,C:1,C:5 F:5,Bb:5 Eb:5,Ab:5 Db:5,C:7,"
21,Ab,"Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,F:min,Ab:maj,F:min,F:min,F:min,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,F:min,F:min,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj,Ab:maj,"
22,E,"E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,A:maj G:maj E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,A:maj G:maj E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj D:maj,A:maj E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,D:maj A:maj,D:maj A:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,A:maj G:maj E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,A:maj G:maj E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj D:maj,A:maj E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,D:maj A:maj,D:maj A:maj,E:maj,E:maj,B:maj,B:maj,A:maj,A:maj,B:maj,B:maj,A:maj,A:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,E:maj,A:maj G:maj E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj D:maj,A:maj E:maj,A:maj,A:maj,E:maj,E:maj,A:maj,A:maj,E:maj,E:maj,"
23,B,"B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min7,B:min7,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,B:min,"
24,A,"A:maj,D:maj,A:maj,D:maj,G:maj,E:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,G:maj,C:maj,B:maj,E:7,A:min,D:min,C:maj,A:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,G:maj,C:maj,B:maj,E:maj,A:maj,D:maj,G:maj,E:maj,A:maj,D:maj,G:maj,E:maj,A:maj,D:maj,G:maj,E:maj,A:maj,D:maj,G:maj,E:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,G:maj,C:maj,B:maj,E:maj,A:maj,D:maj,G:maj,C:maj,B:maj,E:maj,A:maj,D:maj,A:maj,D:maj,A:maj,D:maj,G:maj D:maj,A:maj,"
