Song_ID,Tonic,Chords
71,E,"I:min,I:min F#,I:min7,bVII:maj,bVI:maj,bIII:maj,bIII:maj F#,"
72,E,"I:maj,IV:maj,V:maj,I:7,V:7,"
73,D,"I:maj,IV:maj,V:maj,bVII:maj G,"
74,G,"I:7,V:7,IV:7,"
75,D,"V:maj,IV:maj,I:maj,V:min,bVII:maj G,I:maj A,II:min,"
76,G,"I:maj,VI:min,IV:maj,V:maj,"
77,E,"I:maj,V:maj,IV:maj,V:7,"
78,E,"I:sus4,I:min B,IV:min7,bVI:maj7 C,bVII:maj,bVI:maj7,IV:min7 D,bIII:maj7 G,bVII:min7 G,IV:min7 G,bVI:maj7 D,IV:min7 B,bVI:min7 D,#IV:maj7,IV:sus4,bVII:sus4(b7,I:min,"
79,Ab,"I:maj,V:7,V:sus4,V:maj,IV:maj,I:maj7,I:maj(9),IV:maj7 Db,"
80,G,"I:maj,IV:maj,III:min,V:maj,II:min7,"
81,E,"I:maj,V:maj,IV:maj,I:maj C,I:7,I:maj A,"
82,Bb,"I:maj,V:7,IV:maj,V:maj,I:7,III:maj,#IV:dim,II:min7,I:maj G,"
83,E,"IV:maj,I:maj,V:maj,IV:maj E,I:maj E,IV:maj C#,bVII:maj A,IV:maj7,bVII:maj7,"
84,B,"IV:maj,I:maj,I:maj F#,"
85,G,"I:maj,IV:maj,II:min,IV:maj7,VI:min,V:maj C,III:min A,V:maj B,V:sus4,V:maj B,"
86,E,"I:1,bII:1,I:maj,I:7,IV:maj,V:maj,"
87,D,"I:5,I:min,bVII:maj,IV:min,IV:maj,VII:min,V:maj,bVI:maj,"
88,Ab,"I:maj,IV:maj,V:maj,"
89,A,"I:min7,bIII:min7,I:1(b7),I:1(13),bVI:1(3),I:5,"
90,D,"I:min,bVII:maj,I:5,bVII:5,bVII:sus4,bVI:maj,bIII:maj,V:min,I:min7,"
91,D,"I:maj,VI:min,IV:maj,V:maj,V:maj N,"
92,F,"I:maj,V:maj,II:maj,VI:maj,"
93,A,"I:min(9) A,bVII:maj E,IV:maj,IV:min7,bVI:maj(9),I:min7,bVI:maj D,"
94,A,"I:maj,I:7,I:maj6,IV:maj,II:min,V:maj,V:7,"
95,G#,"bVI:maj F#,bVI:maj,bIII:maj F#,bIII:maj,bII:maj,"
96,Db,"I:maj Db,I:maj7 Db,V:7 Ab,IV:maj Db,II:min,IV:maj6,I:maj,"
97,F,"I:maj,III:min,IV:maj,V:maj,II:min Bb,VI:min,IV:maj Bb,I:maj Bb,V:7,I:maj D,II:maj,VI:maj,III:min C,VII:min,#IV:min,VI:7,V:maj C,II:maj C,"
98,D,"I:sus4(b7),bVI:maj C,I:min,I:min G,I:min7,"
99,Db,"I:maj,VI:min,IV:min,V:maj,IV:maj,I:7,V:7,V:7(#9),V:maj6(b7) Ab,I:maj7,V:7(b9),I:maj13,"
100,E,"I:maj F#,bVI:maj,bVII:maj,I:maj,V:min,"
101,E,"I:maj,IV:maj,V:maj,bVI:maj B,"
102,A,"I:maj,V:7,I:maj E,IV:maj,"
103,G,"I:maj,IV:maj,V:maj,"
104,G,"I:maj,V:7,IV:maj,V:maj,"
105,C,"III:1,I:maj E,VI:min7 E,II:min F,I:maj,I:maj D,IV:maj C,II:maj F,IV:min,III:min,IV:maj,V:maj,"
106,G,"I:maj,V:7,VI:min,IV:maj,I:7,III:7,"
107,B,"I:min,I:5,IV:min,bVII:sus4,bVI:sus4,bVI:5,IV:5,"
108,A,"I:maj,V:7,I:maj E,IV:maj,"
109,A,"I:min,bVI:maj7 E,bVI:maj,bIII:maj,bVII:maj,IV:min(9),bIII:min(9),II:7(b9,bVII:7,II:maj,"
110,Db,"bIII:sus4 E,bIII:maj,V:sus4 Ab,V:1 Gb,I:maj F,IV:maj Gb,bVI:7 Ab,VI:sus4 Bb,II:maj G,V:maj Ab,"
111,Ab,"I:maj,IV:maj,V:maj,#IV:maj,"
112,B,"I:maj7,bVI:maj9,I:min7,IV:maj7,IV:min7,IV:maj,"
113,D,"I:maj,I:1,bVII:1,VI:1,bVI:1,IV:maj,II:min,VI:min,V:maj,"
114,D,"I:maj,I:sus4,IV:maj,V:maj,VI:min,II:min,"
115,A,"I:maj D,I:maj,V:maj,V:maj D,V:maj E,I:maj E,IV:maj,I:maj A,I:maj7 A,"
116,G,"I:maj,V:maj,VI:min D,IV:maj,II:maj,IV:maj G,II:min G,IV:maj D,bIII:maj C,I:maj D,VI:min D,II:min D,"
117,G,"I:maj,I:7,V:7,I:maj C,I:maj G,IV:maj,IV:min,II:7,I:maj D,I:maj D,"
118,B,"I:maj,IV:maj,#IV:maj,bVI:maj,bVII:maj,I:min,bII:maj,"
119,A,"I:maj,bVII:maj,IV:maj,II:7,I:maj A,II:maj,V:maj,"
120,C,"IV:maj7,II:min7,V:sus4(b7),I:maj,V:7,I:maj7,I:min7,I:7,II:maj,bII:maj7,"
121,F,"IV:maj F,V:maj F,V:maj,I:maj,VI:min,III:min,IV:maj,bIII:maj,bVI:maj,"
122,F,"V:maj A,VI:min7 G,V:maj A,VI:min7 G,V:maj7,V:maj,bVII:dim,I:maj7,VI:7 D,VI:hdim7,IV:maj,IV:min,I:maj C,VI:7,II:9,II:7,V:sus4(b7,VI:9,V:7,I:maj,"
123,G,"V:maj(9),IV:min7,bVI:maj,bVII:maj,I:min7,bVI:maj7,V:7,IV:min7 F,bIII:maj7 G,IV:min7 D,I:min,I:1,"
124,A,"I:maj,IV:maj,V:7,"
125,F#,"IV:maj,bVI:maj,bVII:maj,VII:min Bb,bIII:maj,"
126,D,"I:maj,II:min,bVI:maj,bIII:7,"
127,D,"V:5(b7),VI:min,IV:maj,V:maj,IV:maj A,I:maj,V:11,"
128,B,"I:maj,I:maj7,I:7,IV:maj,IV:min,bVI:maj,bII:maj,#IV:maj,bII:7,#IV:min,#IV:maj C,bVII:maj,bIII:7,bVI:7,bVII:7,bIII:maj,"
129,C,"I:maj,II:maj,IV:maj,V:sus4,VI:min,II:min,V:maj G,V:maj,bIII:maj Eb,bIII:maj6 Eb,V:sus4(b7,V:7,"
130,D,"I:maj G,V:maj,I:maj C,IV:maj,I:maj,"
131,Ab,"I:7(#9),"
132,D,"IV:5,I:5,bVII:maj,I:min G,V:7,VI:dim,IV:min,bVII:maj C#,I:min,I:min C,bVI:maj,bIII:maj,IV:7,V:sus4,IV:maj(9),I:maj7,II:min,bII:aug,I:maj,IV:1,I:1,"
133,D,"I:maj,II:min7 A,V:maj,bVI:maj F,bVII:maj G,bVII:maj,#IV:maj Eb,I:maj D,I:9,IV:maj,I:maj(b9),I:7,"
134,D,"I:maj D,I:sus4,I:maj G,I:maj A,I:maj A,I:maj,I:maj A,IV:maj D,V:maj D,V:sus4(b7),I:maj D,IV:maj F,bIII:maj F,bVI:maj Eb,"
135,A,"I:maj,V:sus4(9),II:min7,bVI:maj7,bIII:maj7,V:7,V:sus4,V:maj,"
136,G,"I:maj,V:maj,IV:maj,IV:7,"
137,D,"II:min,I:maj7,V:sus4(b7,VI:min,bVI:maj F,bII:maj Bb,IV:maj,V:maj,"
138,C,"I:maj Eb,IV:maj G,I:maj,IV:maj,V:maj,I:maj F,"
139,G,"I:5,I:min,bVII:7,bIII:maj,II:maj Ab,I:min6,I:maj6(7),I:minmaj7,"
140,Eb,"V:7,IV:7,I:7 Eb,I:7,"
141,G,"I:5,bVII:maj,bIII:maj F,I:maj,bIII:maj,IV:maj,bVI:maj,VI:min,I:5 F,"
142,F,"I:min F,bIII:maj,V:7,"
143,D,"I:5 A,IV:5 A,V:maj,I:maj,VI:min,IV:maj A,VI:min A,IV:5,VI:maj,"
144,A,"I:maj,IV:maj,II:min,V:maj,II:maj,"
145,A,"V:7,I:maj,II:7,V:7 A,IV:maj,II:min,V:maj,I:maj D,bVI:7,bII:maj,bIII:7,bVI:7 Bb,#IV:maj,bII:maj G,bIII:min,bVI:maj,bII:maj Eb,bVI:13,bII:maj Eb,"
146,Eb,"II:min9,V:sus4(b7,I:maj7,bVII:7 C,#IV:7(#11),IV:maj7,III:min7,II:min7,VI:min,bVII:7(#11),II:7,"
147,Bb,"I:maj,I:maj7,V:sus4(b7,IV:maj,IV:maj F,II:min7 F,IV:maj F,IV:maj F,V:maj,V:sus4(b7),V:maj F,I:maj F,"
148,D,"I:1,I:maj,II:maj,"
149,F,"I:maj,IV:maj,II:min C,VI:min,V:11,bIII:maj,bIII:maj Bb,V:min,I:min D,bVII:maj,I:min,VI:min D,IV:maj Bb,II:min,VI:maj,V:maj6,"
150,F,"I:maj,IV:maj,VI:min7,V:maj,VI:min7 C,II:min,III:min7,VI:min,III:min7 Bb,IV:maj7,II:maj,"
151,F,"I:maj,I:maj D,II:min C,II:min7(11),V:maj(11),IV:maj,"
152,G,"I:maj,IV:maj,II:maj,V:maj,I:maj G,"
153,D,"IV:maj E,II:min B,IV:maj A,V:maj,I:maj E,II:min B,VI:min7 F#,VI:min,V:sus4 A,IV:maj,VI:min(9),I:maj,I:maj G,I:maj F#,V:maj B,"
154,E,"I:maj,IV:maj,IV:7,I:7,IV:maj B,I:maj E,bVII:maj D,IV:maj B,"
155,E,"I:maj,IV:maj,V:maj,V:7,I:7,IV:maj E,"
156,D,"bVI:maj,V:1(11),V:1(11) D,bVII:maj,I:7,IV:sus4(b7),V:min,IV:min7,bIII:maj,I:maj,I:1,I:min,bVI:1(3),IV:min,V:sus4,I:min7,IV:maj,bVI:maj(9),IV:7,I:sus4(b7),I:5 D,I:1(#5) D,I:5,bVI:maj A,bIII:maj D,IV:sus4,bVI:maj A,V:min7,V:1(11) D,IV:maj6,bVII:sus4(b7),bVII:maj6,II:min,"
157,G,"I:maj,IV:maj,V:maj,V:7,IV:maj B,VI:min,II:min7,I:maj7,"
158,G,"I:maj,bVI:maj9 D,bVI:maj9 F,V:maj,VI:min7,II:min7 E,I:maj A,I:maj A,II:min7 E,"
159,D,"I:1 E,I:1,I:maj,VI:min7,IV:maj7,VI:min7 D,IV:min7,V:min D,II:sus4(b7),II:7,V:sus4(b7,II:min,I:maj E,V:min7 D,V:7,VI:sus4(b7),II:min7,I:maj D,bVI:maj7,bVII:7,V:min7,I:7,IV:maj,bVI:maj,bVII:maj,"
160,A,"I:maj,I:maj(9),IV:maj,II:min,II:min7,I:maj E,I:9 A,IV:maj7,IV:maj6(7),V:sus4(b7),V:7,I:7,I:maj G#,IV:min,I:maj A,IV:maj E,I:maj C#,IV:maj E,I:sus4 A,IV:min6(7),I:maj6,"
161,Db,"IV:maj F,VI:min Ab,VI:maj,II:min7 Ab,I:maj,II:min7 Ab,II:min,"
162,G,"I:maj,V:maj,V:7,III:maj,IV:maj,"
163,D,"I:maj,I:maj A,V:maj,I:sus4,IV:maj,I:maj G,V:maj D,V:7 A,V:7,"
164,C,"I:maj,V:maj(11),V:maj,IV:maj,II:min7,I:maj7,I:maj6,V:sus4,"
165,E,"I:maj,IV:maj,V:maj,"
166,E,"I:min,bIII:maj,IV:min,bVI:maj B,bVI:maj B,"
167,F#,"IV:maj,"
168,Bb,"I:maj,VI:min,IV:maj,V:maj,V:7,I:7,"
169,Bb,"I:min7,I:1 Db,V:hdim7 Bb,IV:min7 Eb,II:9(#11),bII:maj7 F,bVI:maj9,bII:7(#11),V:hdim7,I:7(#9),IV:7 D,bIII:7 C,V:9,I:7 Bb,IV:maj Bb,IV:maj,"
170,G,"I:maj,VI:min,IV:maj,V:maj,IV:min7,I:7,II:maj,V:7,"
171,G,"I:min7,bVII:maj,IV:maj,I:maj,bVI:maj,I:min,bIII:maj,"
172,D,"I:5,bVI:5,IV:maj,I:maj,V:maj,II:min,I:7(#9),"
173,F,"I:min,I:1,bIII:1,IV:1,V:1,bIII:maj,IV:maj,bVI:maj,V:maj,V:min,I:min Ab,I:min C,bVII:maj,"
174,Ab,"I:maj Eb,IV:maj(9),VI:min7 C,IV:maj Eb,III:min,II:min,V:maj,I:maj Bb,I:maj Db,II:min Eb,I:maj Db,IV:maj Eb,"
175,D,"V:1,V:min7,I:maj(#9),bVII:maj,V:maj(#9),VI:min,I:maj,V:maj,IV:maj,I:min7,"
176,D,"II:min,I:maj7,V:sus4(b7,VI:min,bVI:maj F,bII:maj Bb,IV:maj,V:maj,"
177,D,"I:min,I:min7,IV:sus4(b7,II:maj,V:sus4(b7,VI:maj,"
178,E,"I:maj,IV:maj,V:maj,"
179,Bb,"I:maj,II:maj,VI:min,IV:maj,II:7,VI:maj,V:maj,VII:maj,III:maj,"
180,Ab,"I:maj,VI:min7,III:min7,bVII:maj6(9),I:maj7,VI:min,III:min,IV:maj7,V:maj,V:sus4 Eb,VI:min F,IV:maj7 Eb,I:maj Db,IV:maj Eb,bVII:maj7,V:sus4(b7,V:7,II:min7 Eb,V:maj Eb,"
181,G,"I:maj,VI:min,IV:maj,V:7,VI:min7,bVI:maj,II:7,IV:maj D,IV:min,V:maj,bII:maj,bVII:min7,#IV:maj,VI:maj,bVI:7,bIII:7,VI:maj Eb,"
182,D,"I:maj G,V:maj,I:maj,IV:maj6,V:sus4 A,IV:maj D,V:maj G,IV:maj,V:sus4,"
183,B,"I:min,#IV:1 E,IV:min,I:1 A,IV:1 D,"
184,B,"I:maj G#,I:maj,I:maj A,IV:sus4 F#,"
185,A,"I:maj,bVII:maj,IV:maj,IV:maj D,"
186,F,"I:maj,IV:maj,VI:min7,V:maj,VI:min7 C,II:min,III:min7,VI:min,III:min7 Bb,IV:maj7,II:maj,"
187,B,"I:maj,I:7,IV:maj,I:maj B,IV:maj B,IV:maj C#,"
188,C,"I:maj(9),II:min,VI:min,IV:maj,V:maj,I:maj,V:7,"
189,D,"V:1,V:min7,I:maj(#9),bVII:maj,V:maj(#9),VI:min,I:maj,V:maj,IV:maj,I:min7,"
190,Bb,"I:maj,I:7,IV:maj,V:maj,IV:7,"
191,B,"I:min,bVI:maj6,bVII:maj(9),bVI:maj A,IV:min9,I:min(11),bVI:maj,bVII:maj,I:min7,bIII:maj,"
192,A,"I:min,IV:7,V:7,"
193,F,"I:maj,IV:maj,bIII:maj F,"
194,Db,"I:maj,V:7,I:7,IV:maj,II:min7 Ab,VII:dim Db,bVI:7,bII:maj,bII:7,#IV:maj,bIII:min7 A,VI:7,II:maj,II:7,V:maj,bII:dim Eb,"
195,Db,"I:maj,I:dim,V:7,I:7,IV:7,II:7,"
196,E,"I:maj,IV:maj,V:maj,bVII:maj,I:7,"
197,E,"I:maj,I:7,IV:7,I:7 B,V:7,I:7 B,bII:7,bII:7 C,bVI:7,#IV:7,"
198,A,"I:min,bVI:maj7 E,bVI:maj,bIII:maj,bVII:maj,IV:min(9),bIII:min(9),II:7(b9,bVII:7,II:maj,"
199,D,"V:5(b7),I:maj,V:maj,bVI:9,bVII:maj,IV:min7,V:min7,bVI:maj6(9),bIII:maj6(9),IV:min11,IV:sus4(b7),bVII:maj(9),bVI:maj7,"
200,D,"I:maj,IV:maj,V:maj,VI:min,II:9,"
201,D,"I:1 E,I:1,I:maj,VI:min7,IV:maj7,VI:min7 D,IV:min7,V:min D,II:sus4(b7),II:7,V:sus4(b7,II:min,I:maj E,V:min7 D,V:7,VI:sus4(b7),II:min7,I:maj D,bVI:maj7,bVII:7,V:min7,I:7,IV:maj,bVI:maj,bVII:maj,"
202,G,"I:maj,I:maj7,IV:maj,II:min,V:7,IV:maj D,VI:min,III:min,I:7,II:maj,I:maj C,"
203,D,"IV:maj7,I:maj6,IV:maj7 D,I:maj7,IV:maj,I:maj7 A,VI:min7,II:min7,V:7,VI:min9,"
204,G,"I:maj D,IV:maj,II:min,V:maj,VI:min,II:min C,I:maj E,I:maj C,"
205,E,"I:min,IV:maj B,V:13,I:maj,IV:maj,V:maj,IV:maj F#,V:7,"
206,E,"I:maj E,IV:maj,IV:min6,I:maj,V:maj A,I:maj E,IV:maj7 A,I:maj G#,I:maj7 E,I:maj E,I:maj E,V:7 C,bII:maj F,#IV:maj7 Bb,bII:maj A,bVII:7(b9),bIII:7,bIII:min7 C,bII:maj F,bVI:7 N,bII:maj,#IV:maj Bb,"
207,Eb,"I:maj,"
208,G,"I:min,bVII:7,bVI:maj7,V:sus4 D,V:7,bIII:maj,IV:min,IV:min7,V:maj,I:maj7,II:min7,I:maj,I:min7,"
209,E,"I:maj,IV:maj,bVII:maj B,"
210,G,"I:maj,V:7,IV:maj,II:7,"
211,Ab,"I:maj,V:maj,V:maj Ab,VI:min,III:min,IV:maj,II:min Eb,II:min Eb,"
212,F,"I:maj D,IV:maj,V:maj,I:maj,II:7,V:7,"
213,Bb,"I:maj,V:sus4(b7),II:min7,IV:maj,VI:min7,II:7,V:maj,I:maj G,II:7 F,II:min Bb,IV:maj F,III:min,VI:min Eb,V:7,"
214,D,"I:7,IV:7,V:7,I:9,"
215,D,"I:1,I:maj,II:min7 A,I:maj B,II:min,"
216,E,"I:maj,V:maj A,bVII:maj A,I:maj B,I:maj D,bVI:maj G,IV:maj,I:min D,V:maj,I:min B,bVI:1 G,IV:maj E,bII:1 C,bII:1 E,IV:min,I:min,bII:dim,V:7,bVI:dim,bIII:maj7,bVI:1(b5,VI:maj,VII:1(b5,bIII:1(b5,#IV:maj7,IV:1(b5,"
217,F,"I:maj,V:maj,II:maj,VI:maj,"
218,C#,"bVI:maj7,bIII:maj,bIII:maj7,"
219,F,"I:maj(9),I:maj,II:min,I:maj F,VI:maj,IV:maj,II:min7 G,III:min,bIII:maj Eb,II:min7,V:maj,"
220,B,"I:maj,IV:maj,IV:7,I:7,"
221,E,"I:maj,V:maj A,bVII:maj A,I:maj B,I:maj D,bVI:maj G,IV:maj,I:min D,V:maj,I:min B,bVI:1 G,IV:maj E,bII:1 C,bII:1 E,IV:min,I:min,bII:dim,V:7,bVI:dim,bIII:maj7,bVI:1(b5,VI:maj,VII:1(b5,bIII:1(b5,#IV:maj7,IV:1(b5,"
222,E,"I:maj,IV:maj,IV:maj B,IV:maj(9),V:maj,VI:min7,"
